"product_name";"total_revenue";"avg_sale"
Ginger Shot Premium #20;372802.22;177.7788364329995231
Probiotic Kefir Premium;335504.55;166.5861717974180735
Kombucha Classic;334882.78;162.5644563106796117
Ginger Shot Premium #35;327047.01;164.2626870919136113
Apple Juice Cloudy Small Pack #17;323575.12;155.4902066314271985
Berry Mix Classic;316018.88;153.2584287099903007
Apple Juice Cloudy Premium;311977.51;146.0568867041198502
Plums Small Pack;308247.90;148.7682915057915058
Blueberries Family Pack;304261.19;143.1817364705882353
Blueberries #20;295775.00;141.3838432122370937
